game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Final Fantasy XIV,https://psnprofiles.com/guide/12670-final-fantasy-xiv-stormblood-dlc-trophy-guide,PS5,8/10,999,,"93,114",5/5,5,20
Tom Clancy's EndWar,https://psnprofiles.com/guide/73-tom-clancys-endwar-trophy-guide,PS3,9/10,100,0.13%,"13,807",5/5,6,14
The Elder Scrolls Online,https://psnprofiles.com/guide/16974-the-elder-scrolls-online-trophy-guide,PS4,9/10,600,0.16%,"24,931",4/5,13,17
Injustice: Gods Among Us Ultimate Edition,https://psnprofiles.com/guide/5278-injustice-gods-among-us-ultimate-edition-trophy-guide,PS4,9/10,90,0.21%,"176,251",4/5,19,136
Star Trek Online,https://psnprofiles.com/guide/9858-star-trek-online-trophy-guide,PS4,9/10,300,0.33%,"31,377",4/5,11,12
I Am Bread,https://psnprofiles.com/guide/8735-i-am-bread-trophy-guide,PS4,9/10,40,0.39%,"86,441",4/5,24,54
Rocksmith,https://psnprofiles.com/guide/2939-rocksmith-trophy-guide,PS3,9/10,50,0.43%,"9,596",4/5,5,6
Tetris Effect,https://psnprofiles.com/guide/14550-tetris-effect-trophy-guide,PS4,9/10,150,0.54%,"55,470",4/5,17,34
Super Street Fighter IV,https://psnprofiles.com/guide/6596-super-street-fighter-iv-trophy-guide,PS3,9/10,150,0.60%,"63,695",5/5,13,39
Trackmania Turbo,https://psnprofiles.com/guide/4216-trackmania-turbo-trophy-guide,PS4,9/10,70,0.70%,"102,419",5/5,32,142
XCOM 2,https://psnprofiles.com/guide/5391-xcom-2-trophy-guide,PS4,9/10,100,0.87%,"107,187",4/5,18,115
XCOM: Enemy Unknown,https://psnprofiles.com/guide/1241-xcom-enemy-unknown-trophy-guide,PS3,9/10,100,0.92%,"21,798",4/5,17,52
Battlefield: Bad Company,https://psnprofiles.com/guide/2911-battlefield-bad-company-trophy-guide,PS3,9/10,180,0.93%,"48,239",5/5,18,33
Gran Turismo Sport,https://psnprofiles.com/guide/6951-gran-turismo-sport-trophy-guide,PS4,9/10,250,0.98%,"151,164",5/5,24,103
FIFA 19,https://psnprofiles.com/guide/12722-fifa-19-trophy-guide,PS4,9/10,60,0.99%,"22,522",4/5,12,14
WipEout HD,https://psnprofiles.com/guide/1041-wipeout-hd-trophy-guide,PS3,9/10,50,1.01%,"24,736",5/5,13,55
Diablo II: Resurrected,https://psnprofiles.com/guide/12977-diablo-ii-resurrected-trophy-guide,PS5,9/10,999,1.16%,"154,849",4/5,20,52
Frostpunk,https://psnprofiles.com/guide/11519-frostpunk-trophy-guide,PS4,9/10,100,1.21%,"68,754",5/5,11,34
Trackmania,https://psnprofiles.com/guide/16782-trackmania-trophy-guide,PS5,9/10,200,1.27%,"20,612",5/5,16,18
F1 2010,https://psnprofiles.com/guide/3022-f1-2010-trophy-guide,PS3,9/10,250,1.36%,"18,024",4/5,6,21
John Wick Hex,https://psnprofiles.com/guide/16486-john-wick-hex-trophy-guide,PS4,9/10,20,1.58%,"15,366",5/5,6,13
Shadow Warrior,https://psnprofiles.com/guide/3167-shadow-warrior-trophy-guide,PS4,9/10,50,1.59%,"56,732",5/5,9,56
Sol Cresta,https://psnprofiles.com/guide/15743-sol-cresta-trophy-guide,PS4,9/10,50,1.60%,"6,834",,0,10
Yaiba: Ninja Gaiden Z,https://psnprofiles.com/guide/13665-yaiba-ninja-gaiden-z-trophy-guide,PS3,9/10,35,1.73%,"11,302",5/5,5,11
Doom 3 BFG Edition,https://psnprofiles.com/guide/9930-doom-3-bfg-edition-trophy-guide,PS3,9/10,45,1.75%,"57,208",4/5,6,28
